occupation_level4_number,occupation_level4,n_sickcase_per1000,n_sickcase_per1000_f,n_sickcase_per1000_m,avg_sickdays,avg_sickdays_f,avg_sickdays_m,n_emp,n_emp_f,n_emp_m,stw_pay_quota_2014,stw_pay_quota_2015,stw_pay_quota_2016,stw_pay_quota_2017,stw_pay_quota_2018,uw_pay_quota_2014,uw_pay_quota_2015,uw_pay_quota_2016,uw_pay_quota_2017,uw_pay_quota_2018
8132,"8132 -  Maskinoperatörer, kemisktekniska och fotografiska produkter",107.4,164.4,84.6,9.3,13.4,7.7,1555,444,1111,95,..,..,..,..,95,93,93,95,98
1511,"1511 -  Klinik- och verksamhetschefer inom hälsa och sjukvård, nivå 1",62.4,72.2,39.4,6.1,7.2,3.6,2627,1841,786,81,81,86,85,86,72,70,78,82,79
2113,2113 -  Kemister,50.9,75.4,23.2,6.2,10,2,2847,1511,1336,93,96,95,96,97,90,94,93,96,95
2419,2419 -  Övriga ekonomer,62.4,78.3,35.9,6.6,8.7,3.1,12589,7879,4710,86,88,86,..,86,83,88,84,..,86
2611,2611 -  Advokater,29.3,53.9,15.3,3.4,5.7,2.1,2459,891,1568,..,..,..,..,..,..,87,94,..,96
2643,"2643 -  Översättare, tolkar och lingvister m.fl.",88.6,104,55.2,8.8,10.6,5,1773,1211,562,..,..,..,99,92,98,99,109,102,93
3312,3312 -  Banktjänstemän,75.8,97.7,40,7.5,10.1,3.4,23496,14587,8909,81,81,80,81,82,79,80,80,81,82
4223,4223 -  Telefonister,115.3,137.1,60.1,13,14.9,8.2,4422,3174,1248,97,95,..,..,..,100,100,100,100,102
5230,5230 -  Kassapersonal m.fl.,90.2,104.9,54.3,8.8,10.1,5.6,13423,9519,3904,..,97,96,..,..,107,97,96,95,106
6113,6113 -  Trädgårdsanläggare m.fl.,116.2,149.8,105.8,10.6,14.5,9.4,12286,2918,9368,..,..,..,..,95,101,95,96,94,97
1321,"1321 -  Inköps-, logistik- och transportchefer, nivå 1",37.1,65.2,29.2,3.6,4.9,3.2,3392,751,2641,95,94,..,93,91,97,97,86,93,90
1731,"1731 -  Chefer inom handel, nivå 1",55,91.2,34.7,5.5,9.4,3.2,1528,548,980,86,86,86,85,95,86,85,88,88,92
2212,2212 -  ST-läkare,79.7,110.1,37.5,7.2,10.5,2.6,8671,5043,3628,96,96,96,98,98,97,96,96,98,97
3119,3119 -  Övriga ingenjörer och tekniker,60.9,84.2,54.2,5.5,7.5,4.9,16328,3635,12693,92,92,95,94,92,93,93,95,94,92
3359,3359 -  Övriga handläggare,95.2,112.6,53.7,10.2,12,5.9,16107,11339,4768,95,96,96,96,95,86,86,87,88,88
3360,3360 -  Poliser,92.3,144.2,66,7.3,12.3,4.7,15867,5340,10527,98,98,98,97,97,95,95,96,96,96
3522,"3522 -  Ljus-, ljud och scentekniker",54.2,87.9,48.3,6.3,6.8,6.2,1827,273,1554,101,..,..,..,..,93,97,96,96,101
4226,4226 -  Marknadsundersökare och intervjuare,113.7,137.3,61.9,12.6,15.2,6.9,932,641,291,..,..,..,..,..,..,103,105,..,105
4410,4410 -  Biblioteks- och arkivassistenter m.fl.,115.8,132.9,69.4,12.6,14.4,7.7,3576,2611,965,100,101,101,100,102,97,102,101,99,102
5151,5151 -  Städledare och husfruar,122.5,135.1,85.9,11,12.3,7.1,2187,1628,559,91,89,86,..,90,85,90,85,85,90
7323,7323 -  Bokbindare m.fl.,79.2,92.7,73.9,7.9,12.2,6.2,1276,356,920,..,94,93,93,93,89,94,93,94,95
9411,9411 -  Pizzabagare m.fl.,52.9,79.5,46.8,5.7,7.1,5.4,3404,629,2775,..,..,..,..,..,..,..,..,..,..
1331,"1331 -  Forsknings- och utvecklingschefer, nivå 1",33.2,41.2,30.6,2.6,3.9,2.2,2593,631,1962,102,99,99,101,96,100,97,95,99,94
1352,"1352 -  Fastighets- och förvaltningschefer, nivå 2",45.1,62.3,40.5,5.2,7.3,4.6,2769,594,2175,..,..,..,..,..,..,..,..,93,98
1732,"1732 -  Chefer inom handel, nivå 2",56.6,92.2,43,6.6,10.3,5.1,8350,2322,6028,..,..,..,..,..,85,105,..,111,97
2114,2114 -  Geologer och geofysiker m.fl.,53.4,90.5,34.1,5.8,9.9,3.6,1292,442,850,96,96,90,94,94,94,94,89,92,92
2141,2141 -  Civilingenjörsyrken inom logistik och produktionsplanering,48.8,68.6,40.1,3.7,6.2,2.6,4321,1327,2994,94,93,92,94,92,98,91,93,93,91
2241,2241 -  Psykologer,112.2,130.5,60.6,13.2,15.2,7.6,7316,5403,1913,96,102,99,98,100,95,102,99,100,100
2341,2341 -  Grundskollärare,92.9,104.6,57.5,9,10.2,5.5,100236,75383,24853,100,100,100,101,101,102,102,103,104,104
2342,2342 -  Fritidspedagoger,138,157.2,89,13.3,15.6,7.3,17618,12650,4968,100,100,100,100,100,102,102,103,103,103
2352,2352 -  Studie- och yrkesvägledare,109.3,118.3,75.2,12.2,13.3,8.3,4446,3515,931,98,98,100,100,100,98,97,100,101,101
2413,2413 -  Finansanalytiker och investeringsrådgivare m.fl.,36.8,77.6,16.1,3.3,5.8,2,4597,1547,3050,80,75,75,78,74,79,75,74,76,70
3355,3355 -  Brandingenjörer och byggnadsinspektörer m.fl.,66.7,115.3,45.3,7.1,11.9,5,2863,876,1987,94,96,96,95,95,94,97,97,95,95
4114,4114 -  Marknads- och försäljningsassistenter,76.5,87.3,48.4,7.8,9.2,4.2,10545,7614,2931,83,87,90,94,92,85,92,91,97,94
4224,4224 -  Hotellreceptionister m.fl.,75.3,86.6,42.4,6.8,7.8,4.1,7287,5425,1862,100,98,99,..,..,101,96,99,98,96
5342,"5342 -  Vårdare, boendestödjare",153.7,175.2,93.7,16.5,19,9.8,60116,44294,15822,100,100,100,100,101,101,100,101,101,102
5414,5414 -  SOS-operatörer m.fl.,150.8,195.5,78.8,13.9,19.1,5.5,1359,839,520,..,97,97,97,98,99,97,98,98,98
7322,7322 -  Tryckare,80.9,111.4,75.2,7.8,9.5,7.5,4448,709,3739,89,93,92,88,94,87,90,90,87,95
8143,"8143 -  Maskinoperatörer, pappersvaruindustri",119,151,110.5,9.9,13.9,8.9,3202,669,2533,..,..,..,..,..,96,92,93,94,96
8212,"8212 -  Montörer, elektrisk och elektronisk utrustning",114,165.5,95.4,10.2,15.7,8.2,12458,3306,9152,93,91,93,94,94,93,92,93,94,94
8213,"8213 -  Montörer, metall-, gummi- och plastprodukter",113.9,164.2,98.1,10.4,15.3,8.8,13185,3155,10030,95,92,90,95,94,96,92,92,95,95
8219,8219 -  Övriga montörer,105.5,165.4,85.3,8,12.5,6.5,8132,2056,6076,92,93,97,95,98,92,93,97,95,99
9120,"9120 -  Bilrekonditionerare, fönsterputsare och övriga rengöringsarbetare",102.6,151.5,89.3,9.5,13.5,8.5,5497,1175,4322,..,100,..,108,109,90,98,110,106,116
9412,9412 -  Restaurang- och köksbiträden m.fl.,104.2,129.8,53.5,9.7,12.3,4.5,57551,38257,19294,99,99,100,98,100,98,99,100,97,100
1251,"1251 -  Försäljnings- och marknadschefer, nivå 1",33.2,57.4,25.5,2.9,4.7,2.4,11522,2788,8734,81,97,93,85,86,80,92,92,84,85
1312,"1312 -  IT-chefer, nivå 2",34.8,59.5,28.1,3.2,4.7,2.8,6580,1411,5169,98,89,92,107,109,99,93,96,107,109
2179,2179 -  Övriga designer och formgivare,67.3,86.6,27,8.6,11,3.7,2052,1386,666,..,..,..,..,..,92,..,82,79,83
2223,2223 -  Anestesisjuksköterskor,112.1,121.7,82.4,9.1,10.2,5.4,3255,2466,789,99,99,99,99,99,101,101,102,101,101
2272,2272 -  Sjukgymnaster,108.7,120.1,66.4,10.8,11.8,7.1,9989,7880,2109,100,103,101,102,102,101,103,103,104,106
2432,"2432 -  Informatörer, kommunikatörer och PR-specialister",85.5,102.2,47.3,8.2,10.2,3.7,14596,10152,4444,95,96,95,98,98,95,95,94,98,98
2515,2515 -  Systemförvaltare m.fl.,50.3,85,36.5,4.8,8.1,3.5,6344,1801,4543,95,97,98,98,102,98,98,99,98,102
2519,2519 -  Övriga IT-specialister,49.5,90.1,33.4,5,8.6,3.6,10511,2986,7525,97,95,95,96,96,98,95,97,96,96
2623,2623 -  Arkeologer och specialister inom humaniora m.m.,60.9,94.6,21.1,6.1,10.1,1.4,1035,560,475,96,96,97,95,97,96,95,96,94,96
3111,"3111 -  Ingenjörer och tekniker inom industri, logistik och produktionsplanering",60.4,95.9,49.5,4.7,7.1,3.9,7305,1710,5595,90,..,93,92,92,93,94,93,92,91
3351,3351 -  Tull- och kustbevakningstjänstemän,84.9,154.1,44.7,7.1,13.3,3.4,1590,584,1006,93,90,91,87,91,92,90,91,87,91
3352,3352 -  Skattehandläggare,92.7,111.2,50.9,9.9,12.2,4.6,5899,4090,1809,94,95,95,96,96,93,94,95,95,95
4119,4119 -  Övriga kontorsassistenter och sekreterare,103.5,113.3,66.2,11.5,12.6,7.3,69387,55029,14358,98,96,101,101,99,99,97,103,103,101
4322,4322 -  Lager- och terminalpersonal,116.2,156.5,105.2,9.4,14.1,8.1,70049,14944,55105,97,95,95,97,97,97,95,95,97,97
4323,4323 -  Transportledare och transportsamordnare,71.6,109.5,55.7,6.7,11.6,4.7,7377,2173,5204,94,95,96,92,..,94,95,96,93,90
8189,8189 -  Andra process- och maskinoperatörer,94.2,129.2,86.7,8.6,11.5,7.9,3046,542,2504,94,96,95,93,..,94,96,95,94,91
8214,"8214 -  Montörer, träprodukter",130.6,205.2,110.6,10.1,15.2,8.7,4539,960,3579,96,97,97,95,..,96,97,97,96,95
9111,9111 -  Städare,133,149.1,81.7,12.8,14.5,7.7,66528,50561,15967,96,97,97,96,97,96,96,96,96,97
1241,"1241 -  Informations-, kommunikations- och PR-chefer, nivå 1",36.9,45.1,23.9,3.9,5.6,1.2,1301,799,502,90,..,98,..,97,89,100,102,..,100
1252,"1252 -  Försäljnings- och marknadschefer, nivå 2",41.7,69.6,31.4,4.4,7.9,3.2,13810,3736,10074,95,82,88,89,88,90,81,87,93,89
1341,"1341 -  Chefer inom arkitekt- och ingenjörsverksamhet, nivå 1",45.4,73.6,35.8,3.2,5.6,2.4,2665,679,1986,93,93,89,99,96,91,92,85,95,95
2142,2142 -  Civilingenjörsyrken inom bygg och anläggning,55.3,92.9,42.4,4.5,7.9,3.3,12272,3144,9128,95,95,97,99,96,93,93,97,98,95
2149,2149 -  Övriga civilingenjörsyrken,50.6,81.1,39.1,5,8.8,3.6,19795,5411,14384,94,96,96,96,95,93,94,94,94,93
2423,2423 -  Personal- och HR-specialister,81.6,92.2,46.2,7.8,8.8,4.4,16804,12948,3856,92,93,90,92,97,90,92,91,90,97
2514,2514 -  Systemtestare och testledare,59.5,98.6,40.8,5.7,10.4,3.4,4200,1359,2841,99,98,99,97,96,100,100,101,98,98
2622,2622 -  Bibliotekarier och arkivarier,96,111.8,45.3,9.2,10.5,4.8,7241,5520,1721,97,97,99,99,98,95,95,98,99,96
3211,"3211 -  Tekniker, bilddiagnostik och medicinteknisk utrustning",104.6,174.8,83.7,11,18.2,8.9,1520,349,1171,99,96,..,..,90,98,98,89,89,86
3322,3322 -  Företagssäljare,55.7,95,41.9,5.4,9.5,3.9,72253,18713,53540,91,94,89,86,88,89,92,88,84,89
5111,5111 -  Kabinpersonal m.fl.,175.2,197.8,86.2,13.1,14.4,8.3,2123,1694,429,100,..,97,100,101,99,101,97,100,101
5226,5226 -  Uthyrare,74.2,132.7,57.6,7.4,12.3,6.1,1536,339,1197,..,..,..,..,94,82,93,96,90,90
5343,5343 -  Personliga assistenter,122.3,144.2,60,13.3,15.5,6.9,65065,48104,16961,100,99,99,99,99,100,99,100,100,100
5413,5413 -  Väktare och ordningsvakter,99.3,160.5,77.5,8.9,15.3,6.6,15089,3975,11114,95,94,94,95,94,95,94,94,95,93
7611,7611 -  Slaktare och styckare m.fl.,161.2,204.2,153.8,12.2,16.7,11.4,3295,480,2815,..,..,..,..,..,..,90,93,89,90
8142,"8142 -  Maskinoperatörer, plastindustri",115.3,172,95.8,9.9,16.7,7.5,7278,1860,5418,92,93,95,91,95,92,93,96,91,96
1221,"1221 -  Personal- och HR-chefer, nivå 1",50.1,58,33.2,5.6,7.2,2.1,3114,2120,994,96,91,..,..,90,97,89,..,..,95
1311,"1311 -  IT-chefer, nivå 1",36.3,55.8,30.6,3.3,5.7,2.6,3004,681,2323,91,100,96,102,104,90,100,95,104,106
1322,"1322 -  Inköps-, logistik- och transportchefer, nivå 2",54.5,85.8,46.3,5.3,8.5,4.4,6629,1376,5253,..,102,..,..,..,..,107,97,98,..
1361,"1361 -  Driftchefer inom bygg, anläggning och gruva, nivå 1",38.8,63.9,35.3,3.7,4.8,3.6,2993,360,2633,87,97,93,..,..,89,99,99,116,110
2250,2250 -  Veterinärer,113.7,133,44.3,10.6,11.9,5.9,2067,1616,451,91,89,96,99,95,86,90,95,97,95
2615,2615 -  Förvaltnings- och organisationsjurister,66.9,88.7,28.5,5.2,7.4,1.5,2914,1860,1054,84,93,94,97,96,83,88,87,92,90
2619,2619 -  Övriga jurister,85.6,103.8,44.2,8.2,10.5,3.1,6236,4335,1901,95,100,100,96,93,92,97,97,94,91
4321,4321 -  Arbetsledare inom lager och terminal,77.9,111.9,70.3,5.8,9,5.1,5445,992,4453,..,93,95,94,94,89,92,94,93,91
5224,5224 -  Optikerassistenter,111.2,125.7,72.9,9.7,11.7,4.2,3094,2244,850,..,..,..,..,..,..,..,94,..,..
5322,"5322 -  Undersköterskor, habilitering",174.8,187.5,114.8,22.1,23.7,14.2,3776,3114,662,99,99,100,100,..,100,100,100,101,..
6130,"6130 -  Växtodlare och djuruppfödare, blandad drift",59,63,58.1,8.1,13.2,6.9,6859,1302,5557,..,..,..,..,..,100,112,99,94,101
7131,7131 -  Målare,110.6,175.2,105.5,9,10.4,8.9,11164,816,10348,..,..,..,..,..,89,97,93,92,96
7134,7134 -  Saneringsarbetare m.fl.,127.1,191.3,118.1,11.1,14.7,10.6,3202,392,2810,..,..,..,..,..,100,95,91,97,96
8172,"8172 -  Processoperatörer, papper",100.7,144.6,92.3,8.8,13.3,7.9,5603,899,4704,94,93,93,95,94,93,93,93,95,93
8344,8344 -  Truckförare,113.3,152.8,107.1,9.4,12.9,8.8,10414,1414,9000,97,99,99,100,103,96,98,99,100,103
9621,9621 -  Reklamutdelare och tidningsdistributörer,94.6,162.9,73.2,8.3,14.6,6.3,6077,1449,4628,98,100,100,100,101,97,100,100,100,101
1342,"1342 -  Chefer inom arkitekt- och ingenjörsverksamhet, nivå 2",45.6,77.3,36,4.3,7.9,3.2,6471,1500,4971,93,97,97,93,96,91,96,96,93,94
1512,"1512 -  Avdelnings- och enhetschefer inom hälsa och sjukvård, nivå 2",82.2,91.3,43.1,7.3,8,4.1,8616,6990,1626,87,87,89,88,90,85,87,89,88,93
2225,2225 -  Psykiatrisjuksköterskor,149.1,159.9,108,18.2,20.5,9.5,4017,3184,833,97,98,97,96,97,97,97,98,97,98
2227,2227 -  Geriatriksjuksköterskor,154.1,158.1,113.4,15.7,16.1,12.2,10414,9488,926,96,96,96,96,96,97,97,96,95,91
2228,2228 -  Intensivvårdssjuksköterskor,125.2,135.8,60.5,10.1,10.7,6.4,3627,3115,512,97,97,98,97,99,99,100,100,100,102
2513,2513 -  Utvecklare inom spel och digitala media,33.2,48.9,31.1,3.5,5,3.3,2196,266,1930,91,..,97,..,..,88,90,96,92,92
2661,2661 -  Socialsekreterare,146.3,155.1,93,14.8,15.6,9.5,21265,18275,2990,100,101,100,102,100,100,100,99,100,100
3112,3112 -  Ingenjörer och tekniker inom bygg och anläggning,57.8,100.1,47.7,5.5,9.2,4.6,18838,3616,15222,94,..,94,94,92,93,92,95,94,91
3512,"3512 -  Supporttekniker, IT",64.8,120.2,47.2,6,11.1,4.4,15026,3620,11406,90,93,95,94,97,90,96,97,95,99
3521,3521 -  Bild- och sändningstekniker,71.1,113.8,50.5,8.1,16.6,4,1407,457,950,..,..,..,..,..,96,90,94,94,84
4116,4116 -  Skolassistenter m.fl.,129.5,133.3,82.1,13.6,13.8,10.8,5213,4823,390,96,98,..,97,99,96,100,105,101,101
5152,5152 -  Fastighetsskötare,114,158.8,106.4,11.4,16.9,10.5,37977,5523,32454,96,96,96,97,97,95,94,95,100,97
6210,6210 -  Skogsarbetare,75.6,108.2,72,6.3,8.4,6.1,3095,305,2790,100,..,..,..,..,100,102,96,99,98
8121,"8121 -  Maskinoperatörer, ytbehandling",110.9,161.3,101.6,9.7,15.5,8.7,2805,434,2371,..,..,..,..,..,103,104,101,98,98
8129,8129 -  Övriga maskin- och processoperatörer vid stål- och metallverk,107.4,149,100.1,8.3,12.7,7.6,6693,1007,5686,96,..,98,97,100,96,96,98,97,100
8162,"8162 -  Maskinoperatörer, mejeri",95.1,172.2,66,10.1,19.7,6.4,1441,395,1046,..,..,..,98,..,90,101,94,98,107
8171,"8171 -  Processoperatörer, pappersmassa",74.3,129.8,66.3,5.2,7.4,4.9,2247,285,1962,99,98,98,96,98,99,98,98,96,98
8211,8211 -  Fordonsmontörer,117.3,167.2,110.8,11.2,15.2,10.7,5618,646,4972,98,102,..,96,100,98,101,96,95,101
1371,"1371 -  Produktionschefer inom tillverkning, nivå 1",42.3,79.5,36.1,3.5,5.6,3.2,4133,591,3542,96,90,91,95,93,100,95,101,104,105
2135,2135 -  Specialister och rådgivare inom skogsbruk,52.1,112.8,37.8,5.3,9.7,4.2,1766,337,1429,99,97,100,97,97,93,93,95,95,93
3121,"3121 -  Arbetsledare inom bygg, anläggning och gruva",62.2,89.9,59.8,5.4,7.5,5.2,12035,990,11045,..,..,94,92,90,..,..,90,90,89
3212,3212 -  Biomedicinska analytiker m.fl.,115,125.2,53.6,10.5,11.2,6,9701,8321,1380,98,97,97,99,98,97,95,97,100,100
3313,3313 -  Redovisningsekonomer,67.7,76.9,32.6,6.9,7.8,3.2,21673,17170,4503,94,91,94,97,93,96,91,92,96,95
3353,3353 -  Socialförsäkringshandläggare,118.6,130.2,67.1,14.5,16.1,7.5,15814,12921,2893,93,91,97,96,98,92,91,97,96,98
4225,4225 -  Kontorsreceptionister,114.6,125.5,59.5,12.1,13.2,6.6,12721,10620,2101,94,97,98,102,97,100,105,101,105,100
5141,5141 -  Frisörer,109.1,115.8,62.5,9.2,9.6,5.9,5538,4834,704,..,..,..,..,..,..,..,..,..,..
7523,"7523 -  Maskinsnickare och maskinoperatörer, träindustri",110.8,188.3,99.4,10.2,15.6,9.4,5760,738,5022,99,101,102,99,102,99,102,104,100,105
8122,8122 -  Valsverksoperatörer,100.3,165,86.2,7.2,12.4,6.1,3830,685,3145,101,99,99,99,99,101,99,99,99,99
8311,8311 -  Lokförare,86.8,157.1,73.3,6.6,11,5.7,4437,713,3724,96,98,96,97,97,95,97,96,96,96
9119,9119 -  Övrig hemservicepersonal m.fl.,164.3,174.5,94.1,11.2,11.9,6.9,2666,2326,340,..,..,99,..,..,..,96,99,93,91
9413,9413 -  Kafé- och konditoribiträden,73.5,77.5,55.9,8,8.9,4.2,5552,4515,1037,..,..,..,..,..,96,90,102,96,97
310,0310 -  Soldater m.fl.,23.3,48,20.6,1.7,2.6,1.6,5573,562,5011,100,98,..,..,..,100,100,..,..,..
1362,"1362 -  Driftchefer inom bygg, anläggning och gruva, nivå 2",48,84.6,45.5,4.5,6.1,4.4,11947,768,11179,108,98,110,100,98,111,102,109,102,100
1532,"1532 -  Enhetschefer inom äldreomsorg, nivå 2",105,110.6,66.9,11.9,12.6,6.6,8482,7406,1076,100,96,100,100,100,101,92,101,102,101
2171,2171 -  Industridesigner,49.9,84.7,33.9,4.9,10.8,2.2,2065,649,1416,..,108,101,102,..,100,111,100,99,90
2351,2351 -  Speciallärare och specialpedagoger m.fl.,120.2,126.6,73.1,11.6,12.2,6.9,12879,11333,1546,100,100,100,101,100,101,100,102,103,103
2511,2511 -  Systemanalytiker och IT-arkitekter m.fl.,43,77.8,33.1,4.4,8.6,3.1,10897,2415,8482,94,95,92,93,97,94,95,92,93,92
2662,2662 -  Kuratorer,146,154.9,77.7,15.8,16.7,9.3,8530,7539,991,97,99,99,99,99,96,99,100,99,100
3122,3122 -  Arbetsledare inom tillverkning,64.1,102.8,57.1,4.6,8,4,7251,1119,6132,90,97,96,91,94,92,98,98,91,95
3343,3343 -  Chefssekreterare och VD-assistenter m.fl.,72,75.7,39.9,7.3,7.6,4.4,3638,3262,376,..,95,..,..,99,97,100,96,110,104
3354,3354 -  Säkerhetsinspektörer m.fl.,97.4,137.2,89.6,9.2,17.3,7.7,3585,583,3002,99,..,..,100,99,100,98,100,103,102
4111,4111 -  Ekonomiassistenter m.fl.,80.4,85,44.4,9.1,9.6,5.5,34480,30518,3962,97,98,96,96,91,102,100,98,98,98
5330,5330 -  Vårdbiträden,136.1,151.1,70,13.3,14.9,6.2,73877,60200,13677,100,99,100,100,99,100,100,101,101,101
6111,"6111 -  Odlare av jordbruksväxter, frukt- och bär",47.1,40.6,47.7,6.3,8.8,6,5561,468,5093,..,..,..,..,..,..,..,..,..,..
